"Event","White","Black","Result","UTCDate","UTCTime","WhiteElo","BlackElo","WhiteRatingDiff","BlackRatingDiff","ECO","Opening","TimeControl","Termination","AN"
" Classical ","SmartAlice","nanaplaza","1-0","2016.07.01","13:05:25","2121","1459","0.0","-1.0","C40","King's Pawn Game: McConnell Defense","480+0","Normal","1. e4 e5 2. Nf3 Qf6 3. Bc4 Ne7 4. Nc3 Nbc6 5. d3 Nd4 6. Be3 Nxf3+ 7. gxf3 d6 8. Rg1 Qh4 9. Qd2 Qxh2 10. O-O-O Qh5 11. d4 Be6 12. Bb5+ c6 13. d5 Bd7 14. dxc6 bxc6 15. Qxd6 Nc8 16. Qxd7# 1-0"
" Classical ","sedeort","phatte","0-1","2016.07.01","13:05:26","1564","1591","-10.0","11.0","C30","King's Gambit","600+5","Normal","1. e4 e5 2. f4 d6 3. fxe5 dxe5 4. Nf3 Nc6 5. Bb5 Bd6 6. Bxc6+ bxc6 7. d3 h6 8. Be3 Nf6 9. h3 Be6 10. c4 c5 11. Nc3 a6 12. O-O Rb8 13. b3 c6 14. Nh4 O-O 15. Nf5 Bxf5 16. exf5 Re8 17. g4 Qc7 18. Na4 e4 19. Bxc5 Bh2+ 20. Kh1 Rbd8 21. Bg1 Rxd3 22. Qe1 Bxg1 23. Rxg1 Rxh3+ 24. Kg2 Rh2+ 25. Kf1 Qf4+ 0-1"
" Blitz ","Serxo1976","AberratioIctus","0-1","2016.07.01","13:05:28","1497","1369","-48.0","15.0","C50","Four Knights Game: Italian Variation","300+0","Time forfeit","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bc4 Bc5 5. O-O d6 6. d3 Bg4 7. Bg5 O-O 8. Nd5 Nd4 9. Bxf6 Bxf3 10. Bxd8 Bxd1 11. Raxd1 Raxd8 12. Kh1 Rde8 13. f4 c6 14. Nc7 Re7 15. c3 Ne6 16. Nxe6 Rxe6 17. f5 Rh6 18. h3 b5 19. Bb3 a5 20. a3 a4 21. Ba2 g6 22. g4 Rxh3+ 23. Kg2 Rh4 24. Kg3 g5 25. f6 Be3 26. Rf5 Bf4+ 27. Kf3 Rh3+ 28. Kg2 Rg3+ 29. Kf2 Rxg4 30. Rxf4 Rxf4+ 31. Kg3 h5 32. Rh1 h4+ 33. Kg2 Kh7 34. Rh3 Rxf6 35. Kg1 Kg6 36. c4 bxc4 37. dxc4 Rf4 38. c5 dxc5 39. Bc4 Rxe4 40. Bd3 f5 41. Bxe4 fxe4 42. Rc3 Rf3 0-1"
" Blitz ","Robert2814","Aaa-Bbb","0-1","2016.07.01","13:05:21","2176","2149","-11.0","12.0","C00","French Defense: Wing Gambit","300+0","Normal","1. e4 e6 2. Nf3 d5 3. e5 c5 4. b4 cxb4 5. a3 bxa3 6. Bxa3 Bxa3 7. Rxa3 Nc6 8. d4 Nge7 9. c3 a6 10. Bd3 Bd7 11. O-O g6 12. Qd2 h6 13. Re1 b5 14. h3 Na5 15. Qa2 Nec6 16. Nbd2 Bc8 17. Qc2 Nc4 18. Nxc4 dxc4 19. Bxg6 Qe7 20. Be4 Bb7 21. Kh2 Qxa3 22. Nh4 Qe7 0-1"
" Bullet ","creeatig","aLerGen","0-1","2016.07.01","13:05:14","1706","1656","-13.0","12.0","A00","Hungarian Opening","120+0","Normal","1. g3 { [%eval -0.1] } 1... e5 { [%eval -0.14] } 2. b3 { [%eval -0.56] } 2... Nc6 { [%eval -0.46] } 3. Bb2 { [%eval -0.47] } 3... Nf6 { [%eval -0.52] } 4. Bg2 { [%eval -0.42] } 4... d5 { [%eval -0.41] } 5. f3?! { [%eval -1.15] } 5... Bf5 { [%eval -0.94] } 6. Nh3 { [%eval -1.08] } 6... Bc5 { [%eval -1.08] } 7. Nf2 { [%eval -1.17] } 7... Qe7 { [%eval -1.03] } 8. e3 { [%eval -1.06] } 8... O-O-O { [%eval -0.98] } 9. O-O { [%eval -1.06] } 9... h5 { [%eval -0.77] } 10. c3?! { [%eval -1.39] } 10... d4 { [%eval -1.1] } 11. exd4?! { [%eval -1.81] } 11... exd4 { [%eval -1.57] } 12. cxd4? { [%eval -3.08] } 12... Nxd4 { [%eval -2.86] } 13. d3?? { [%eval -7.08] } 13... h4 { [%eval -6.94] } 14. Re1 { [%eval -6.74] } 14... Qd6 { [%eval -6.65] } 15. g4 { [%eval -6.5] } 15... h3 { [%eval -4.4] } 16. gxf5?? { [%eval #-9] } 16... hxg2 { [%eval #-8] } 17. Kxg2 { [%eval #-4] } 17... Qxh2+?! { [%eval #-8] } 18. Kf1 { [%eval -65.17] } 18... Nh5 { [%eval -31.01] } 19. Nd2?! { [%eval #-1] } 19... Ng3# 0-1"
" Bullet ","vasjpr","davicillus","1-0","2016.07.01","13:05:23","1515","1312","5.0","-5.0","C00","French Defense: Knight Variation","120+0","Time forfeit","1. e4 e6 2. Nf3 d6 3. Bc4 Be7 4. d4 Bd7 5. e5 d5 6. Bd3 Nc6 7. Be3 f6 8. Nh4 fxe5 9. Qh5+ g6 10. Nxg6 Nf6 11. Qh3 Rg8 12. Nxe7 Qxe7 13. O-O e4 14. Be2 e5 15. dxe5 Nxe5 16. Bh5+ Ng6 17. Bxg6+ Rxg6 18. Qg3 Rxg3 19. fxg3 O-O-O 20. Bd4 c5 21. Bxf6 Qd6 22. Bxd8 Kxd8 23. Nc3 d4 24. Nxe4 Qe5 25. Rae1 Qd5 26. Nf6 Qc6 27. Nxh7 Kc7 28. Re7 Kb6 29. Rff7 Be6 30. Rf6 Qb5 31. Rexe6+ Ka5 32. h3 Qxb2 33. Kh2 Qxc2 34. Re7 Qxa2 35. Rff7 d3 36. Rxb7 d2 37. Rxa7+ Kb5 38. Rxa2 d1=Q 39. Rb2+ Kc6 40. Rf6+ Kd5 41. Rff2 c4 42. Rbd2+ Qxd2 43. Rxd2+ Kc5 44. Rc2 Kb4 45. Rxc4+ Kxc4 46. g4 Kc5 47. g5 Kd6 48. g6 Ke7 49. g7 Kf7 50. g8=Q+ Kxg8 51. Nf6+ Kf7 52. Ne4 Ke6 53. Ng3 Kf6 54. h4 Kg6 55. Kh3 Kh6 56. Kg4 1-0"
" Blitz ","Korcnoj","galeote","0-1","2016.07.01","13:05:30","1892","1766","-14.0","13.0","C41","Philidor Defense #4","180+0","Time forfeit","1. e4 e5 2. Nf3 d6 3. Bc4 Be7 4. d4 Nd7 5. dxe5 Nxe5 6. Nxe5 dxe5 7. O-O Nf6 8. Bg5 Qxd1 9. Rxd1 c6 10. Bxf6 Bxf6 11. Nc3 b5 12. Be2 Be7 13. a3 Be6 14. Rd2 O-O 15. Rad1 Rfd8 16. Rxd8+ Rxd8 17. Rxd8+ Bxd8 18. b4 Kf8 19. a4 a6 20. axb5 axb5 21. Nd1 Ke7 22. Ne3 g6 23. c4 bxc4 24. Nxc4 Bxc4 25. Bxc4 h6 26. b5 c5 27. f3 f5 28. g4 fxg4 29. fxg4 Kf6 30. h4 Kg7 31. Kf2 Bxh4+ 32. Kf3 Bg5 33. b6 Bd8 34. b7 Bc7 35. Ke3 h5 36. Kd3 h4 37. Ke3 g5 38. Kf3 Kf6 39. Bd5 Ke7 40. Bc6 Kd6 41. Bd5 Bb8 42. Bc4 Kc6 43. Bd5+ Kb5 44. Ke2 c4 45. Kf3 Kb4 46. Ke2 c3 47. Ba2 Ka3 48. Bb1 Kb2 49. Bd3 c2 50. Bxc2 Kxc2 51. Kf3 Kd3 52. Kg2 Kxe4 53. Kh3 Kf3 54. Kh2 Kxg4 55. Kg2 Kf4 56. Kh3 e4 57. Kh2 g4 58. Kg1 Ke3 59. Kf1 Kd2 60. Kf2 e3+ 61. Kg2 e2 0-1"
" Classical ","King_Asto","alahmady","1-0","2016.07.01","13:05:29","1331","1444","15.0","-13.0","D20","Queen's Gambit Accepted: Old Variation","600+0","Normal","1. d4 d5 2. c4 dxc4 3. e3 e6 4. Bxc4 Bb4+ 5. Bd2 Bxd2+ 6. Nxd2 c6 7. Ngf3 Nf6 8. O-O O-O 9. g3 Nh5 10. Ne5 f6 11. Qxh5 fxe5 12. Qxe5 Qf6 13. Qc7 Na6 14. Qd6 Rd8 15. Bxe6+ Kh8 16. Qa3 Bxe6 17. Ne4 Qf5 18. f3 Nc7 19. g4 Qb5 20. Nd6 Qd3 21. Qxd3 Nb5 22. Nxb7 Rab8 23. Nc5 Rf8 24. Nxe6 Rf6 25. d5 Rbf8 26. dxc6 Rxf3 27. Nxf8 g6 1-0"
" Blitz ","GlauberVinicius","PepeCarvalho","0-1","2016.07.01","13:05:22","1503","1612","-8.0","8.0","D00","Queen's Pawn Game: Mason Attack","300+0","Normal","1. d4 { [%eval 0.14] } 1... d5 { [%eval 0.11] } 2. Bf4 { [%eval 0.14] } 2... Nc6 { [%eval 0.11] } 3. e3 { [%eval 0.22] } 3... f6 { [%eval 0.66] } 4. h3?! { [%eval -0.26] } 4... e5 { [%eval -0.28] } 5. dxe5 { [%eval -0.18] } 5... fxe5 { [%eval -0.3] } 6. Bh2 { [%eval -0.29] } 6... Bd6 { [%eval -0.3] } 7. Nf3 { [%eval -0.63] } 7... e4 { [%eval -0.36] } 8. Nd4 { [%eval -0.82] } 8... Bxh2 { [%eval -0.75] } 9. Rxh2 { [%eval -0.94] } 9... Qd6 { [%eval -0.93] } 10. Qh5+? { [%eval -3.62] } 10... g6 { [%eval -1.79] } 11. Qg5? { [%eval -4.61] } 11... Nxd4 { [%eval -4.57] } 12. exd4 { [%eval -4.27] } 12... Qxh2 { [%eval -4.37] } 13. Qe5+? { [%eval -6.39] } 13... Qxe5 { [%eval -6.29] } 14. dxe5 { [%eval -6.25] } 14... Bd7 { [%eval -5.81] } 15. Nc3?! { [%eval -6.4] } 15... c6 { [%eval -6.36] } 16. O-O-O?! { [%eval -6.94] } 16... O-O-O { [%eval -6.68] } 17. Na4?! { [%eval -7.24] } 17... Re8 { [%eval -7.1] } 18. Nb6+? { [%eval -10.98] } 18... axb6 { [%eval -10.74] } 0-1"
" Blitz ","Armen1987","renr8360","1-0","2016.07.01","13:05:29","2215","2253","72.0","-10.0","C68","Ruy Lopez: Exchange Variation","180+0","Normal","1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d4 Bd6 6. dxe5 Be7 7. Qxd8+ Bxd8 8. Nc3 Be6 9. Bg5 Ne7 10. O-O-O O-O 11. Rxd8 Raxd8 12. Bxe7 Rc8 13. Bxf8 Kxf8 14. Ng5 Ke7 15. Nxe6 Kxe6 16. f4 g5 17. g3 f5 18. exf5+ Kxf5 19. Rf1 h5 20. fxg5+ Kxe5 21. h4 Rd8 22. Rf7 Rc8 23. g6 Ke6 24. Ne4 Rg8 25. Ng5+ Kd6 26. g7 c5 27. c4 b5 28. b3 c6 29. Kc2 a5 30. a4 Ke5 31. Kd3 b4 32. Ke3 Kd6 33. Kf4 Rxg7 34. Ne4+ Ke6 35. Rf6+ Kd7 36. Nxc5+ Kc7 37. Ne6+ Kb6 38. Nxg7 Kc5 39. Nxh5 Kd4 40. Rxc6 Kc3 41. c5 Kxb3 42. Rb6 Kxa4 43. c6 Ka3 44. c7 a4 45. c8=Q b3 46. Qc1+ Ka2 47. g4 a3 48. Rxb3 Kxb3 49. Qb1+ Kc3 50. g5 a2 51. Qxa2 Kd4 52. g6 Kd3 53. g7 Kd4 54. g8=Q Kc3 55. Qgc4# 1-0"
