"Event","White","Black","Result","UTCDate","UTCTime","WhiteElo","BlackElo","WhiteRatingDiff","BlackRatingDiff","ECO","Opening","TimeControl","Termination","AN"
" Classical ","Nuprow","MrezaNargesi","1-0","2016.07.01","13:04:18","1996","1976","10.0","-10.0","C03","French Defense: Tarrasch Variation, Morozevich Variation","900+10","Normal","1. e4 e6 2. d4 d5 3. Nd2 Be7 4. exd5 exd5 5. Ngf3 Nf6 6. Bd3 O-O 7. O-O Bg4 8. h3 Bh5 9. Re1 c6 10. c3 Qc7 11. Nf1 Ne4 12. Bxe4 dxe4 13. Rxe4 Bg6 14. Re1 Nd7 15. Ng3 Nf6 16. Nh4 Rfe8 17. Nxg6 fxg6 18. Qf3 Bd6 19. Bg5 Nd5 20. Ne4 Rf8 21. Qg4 Bh2+ 22. Kh1 Bf4 23. c4 Nb4 24. Bxf4 Rxf4 25. Qe2 Re8 26. f3 Rd8 27. Qd2 Na6 28. Qc3 Rdf8 29. Rad1 Rh4 30. Qd2 Qd7 31. Rf1 Rff4 32. d5 c5 33. d6 b6 34. Qd5+ Rf7 35. Ng5 Nb4 36. Qxf7+ Qxf7 37. Nxf7 Kxf7 38. d7 Nc6 39. d8=R Nxd8 40. Rxd8 Rd4 41. Rxd4 cxd4 42. Rd1 Ke6 43. Rxd4 g5 44. Kg1 h5 45. Kf2 h4 46. Ke3 g6 47. Rd5 a6 48. Rxg5 Kf6 49. Rg4 1-0"
" Blitz ","sakuram","hamidlll","1-0","2016.07.01","13:04:12","1533","1239","3.0","-4.0","A40","Englund Gambit","300+0","Normal","1. d4 e5 2. g3 d6 3. dxe5 d5 4. e4 d4 5. c3 Bc5 6. cxd4 Bxd4 7. Ne2 f6 8. exf6 Bb6 9. Qxd8+ Kxd8 10. fxg7 Ba5+ 11. Kd1 Nf6 12. gxh8=Q+ Ne8 13. Bg5+ Kd7 14. Qxh7+ Kc6 15. Nd4+ Kc5 16. Be3 Nf6 17. Qe7+ Kb6 18. Ne6+ c5 19. Qxc5# 1-0"
" Blitz ","spc19","MPronin","1-0","2016.07.01","13:04:17","1695","1425","5.0","-14.0","A43","Old Benoni Defense","240+2","Normal","1. d4 c5 2. e3 cxd4 3. exd4 Nf6 4. Bd3 e6 5. f4 d5 6. Nf3 Be7 7. O-O Nc6 8. c3 Bd7 9. Ne5 g6 10. Nd2 O-O 11. Ndf3 a6 12. Nxc6 bxc6 13. Ne5 c5 14. Be3 c4 15. Bc2 Bc8 16. Qf3 Qb6 17. Rab1 Nd7 18. Qh3 Nxe5 19. fxe5 Qd8 20. Rf2 Bg5 21. Bxg5 Qxg5 22. Rbf1 Ra7 23. Rf6 h5 24. Qf3 Kg7 25. h3 Qd2 26. Rf2 Qc1+ 27. Kh2 Qxb2 28. Bxg6 Qc1 29. Bxh5 Rb7 30. Qg4+ Kh8 31. R2f4 Rg8 32. Rh6# 1-0"
" Classical ","bluefrog199","hmza","0-1","2016.07.01","13:04:17","1557","1868","-3.0","4.0","C10","French Defense: Paulsen Variation","900+10","Normal","1. e4 e6 2. d4 d5 3. Nc3 c6 4. Nf3 Bb4 5. Bd2 Bxc3 6. Bxc3 dxe4 7. Nd2 e3 8. fxe3 Ne7 9. Qh5 O-O 10. Bd3 g6 11. Qh4 Nd5 12. Qe4 Nd7 13. O-O-O Nxc3 14. bxc3 Qa5 15. Kb2 Nb6 16. Nc4 Na4+ 17. Kb3 Qb5+ 18. Ka3 Nxc3 19. Qg4 Qa4+ 20. Kb2 Nxd1+ 21. Qxd1 Qb4+ 22. Ka1 a5 23. Ne5 a4 24. Qb1 Qa5 25. Qb2 a3 26. Qb3 Qc7 27. g4 c5 28. h4 cxd4 29. exd4 Rd8 30. Rf1 Rxd4 31. Rxf7 Qxe5 32. Re7 Rb4+ 33. Kb1 Rxb3+ 34. cxb3 Qb2# 0-1"
" Classical ","nomadicsleep","MARK_YAN","1-0","2016.07.01","13:04:18","1144","1145","11.0","-14.0","C40","King's Knight Opening","1800+10","Normal","1. e4 e5 2. Nf3 Qg5 3. Nxg5 1-0"
" Blitz ","stevie76","rezamoh","0-1","2016.07.01","13:04:14","2019","2080","-8.0","47.0","D05","Colle System","180+2","Time forfeit","1. d4 { [%eval 0.24] } 1... Nf6 { [%eval 0.29] } 2. e3 { [%eval 0.1] } 2... e6 { [%eval 0.15] } 3. Nf3 { [%eval 0.08] } 3... d5 { [%eval 0.12] } 4. Ne5 { [%eval -0.2] } 4... Bd6 { [%eval -0.29] } 5. f4 { [%eval -0.34] } 5... c5 { [%eval -0.33] } 6. c3 { [%eval -0.39] } 6... Ne4 { [%eval -0.33] } 7. Qf3 { [%eval -0.31] } 7... O-O { [%eval -0.36] } 8. Bd3 { [%eval -0.39] } 8... f5 { [%eval -0.38] } 9. O-O { [%eval -0.44] } 9... Qb6 { [%eval -0.23] } 10. Nd2?! { [%eval -0.83] } 10... Nxd2 { [%eval -0.81] } 11. Bxd2 { [%eval -0.86] } 11... Qxb2 { [%eval -0.74] } 12. Qe2? { [%eval -1.88] } 12... c4 { [%eval -1.69] } 13. Bxc4?! { [%eval -2.33] } 13... dxc4 { [%eval -2.38] } 14. Nxc4 { [%eval -2.69] } 14... Qb5 { [%eval -2.62] } 15. a4 { [%eval -2.56] } 15... Qd7?! { [%eval -1.91] } 16. e4 { [%eval -2.32] } 16... fxe4 { [%eval -2.26] } 17. Qxe4 { [%eval -2.52] } 17... Nc6?! { [%eval -1.87] } 18. Ne5?! { [%eval -2.81] } 18... Bxe5 { [%eval -2.74] } 19. fxe5 { [%eval -2.72] } 19... b6? { [%eval 0.0] } 20. Rxf8+ { [%eval 0.0] } 20... Kxf8 { [%eval -1.46] } 21. Rf1+? { [%eval -2.83] } 21... Kg8 { [%eval -2.81] } 22. Qf4 { [%eval -2.86] } 22... Bb7 { [%eval -2.83] } 23. Bc1 { [%eval -2.76] } 23... Qe7? { [%eval -1.56] } 24. Qg4? { [%eval -2.89] } 24... Na5 { [%eval -2.91] } 25. Bg5 { [%eval -2.97] } 25... Qd7 { [%eval -2.96] } 26. Bf6?! { [%eval -3.51] } 26... Nc4 { [%eval -3.21] } 27. Rf3?? { [%eval -7.46] } 27... Bxf3 { [%eval -7.35] } 28. gxf3 { [%eval -7.37] } 28... Ne3 { [%eval -7.4] } 29. Qe4 { [%eval -6.98] } 29... gxf6?? { [%eval -3.74] } 30. Qxa8+ { [%eval -3.7] } 30... Kg7 { [%eval -3.54] } 31. Qe4?! { [%eval -4.39] } 31... Nc4? { [%eval -2.94] } 32. exf6+ { [%eval -3.06] } 32... Kxf6 { [%eval -2.81] } 33. Qh4+ { [%eval -3.03] } 33... Kg7 { [%eval -2.93] } 34. Qg4+ { [%eval -3.16] } 34... Kh8 { [%eval -2.93] } 35. Qf4 { [%eval -2.87] } 35... Qg7+ { [%eval -2.6] } 36. Kf2 { [%eval -2.71] } 36... e5? { [%eval -1.7] } 37. Qg4? { [%eval -4.26] } 37... Qxg4 { [%eval -4.27] } 38. fxg4 { [%eval -4.28] } 38... exd4 { [%eval -4.18] } 39. cxd4 { [%eval -4.1] } 39... Kg7 { [%eval -3.81] } 40. Kf3 { [%eval -4.15] } 40... Kf6 { [%eval -3.94] } 41. h4?! { [%eval -4.92] } 41... Nb2 { [%eval -4.65] } 42. a5 { [%eval -5.12] } 42... bxa5 { [%eval -5.05] } 43. Ke4?? { [%eval -14.85] } 43... a4 { [%eval -14.25] } 0-1"
" Blitz ","ENTERPRISE34","ecam","0-1","2016.07.01","13:04:18","2030","1831","-17.0","17.0","B30","Sicilian Defense: Old Sicilian","300+0","Normal","1. e4 c5 2. Nf3 Nc6 3. c3 e5 4. Bb5 a6 5. Bxc6 bxc6 6. d4 cxd4 7. cxd4 exd4 8. Qxd4 Nf6 9. Nc3 Qa5 10. O-O Be7 11. Bd2 Qh5 12. e5 c5 13. Qe3 Ng4 14. Qe4 Rb8 15. h3 Nh6 16. Bf4 Bb7 17. Nd5 Bc6 18. b3 Rb4 19. Nc7+ Kd8 20. Qe3 Kxc7 21. e6+ Rxf4 22. Qxf4+ d6 23. exf7 Qxf7 24. Qxf7 Nxf7 25. Nd2 d5 26. Rfe1 Bd6 27. Rac1 Ne5 28. f4 Nd3 29. Rcd1 Nxe1 30. Rxe1 Re8 31. Rxe8 Bxe8 32. g3 h5 33. Kf2 h4 34. Nf3 hxg3+ 35. Kxg3 g5 36. Nxg5 d4 37. Kf3 Bh5+ 38. Ke4 Kc6 39. f5 Bf8 40. f6 Bg6+ 41. Kf3 d3 42. Ke3 Bh6 43. h4 Bxg5+ 44. hxg5 Kd5 45. Kd2 Kd4 46. a3 a5 47. a4 Bf7 48. Kd1 Kc3 49. Kc1 Kxb3 50. Kd2 c4 51. Ke3 Kc2 52. Kf2 d2 0-1"
" Blitz ","RAILEI","barezi1975","0-1","2016.07.01","13:04:18","1785","1619","-15.0","16.0","A06","Zukertort Opening: Tennison Gambit","240+0","Normal","1. e4 d5 2. Nf3 dxe4 3. Ng5 h6 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Be2 Bd6 7. O-O O-O 8. d4 Nc6 9. c3 Bf5 10. Nd2 Re8 11. Nf3 Qe7 12. Bd3 Bxd3 13. Qxd3 Qe4 14. Qb5 Ne7 15. Re1 Qf5 16. Qxb7 Ng6 17. Rxe8+ Rxe8 18. Qxa7 Qh5 19. Be3 Nh4 20. Nxh4 Qxh4 21. h3 f5 22. Qb7 f4 23. Bd2 f3 24. Qxf3 Re6 25. Qf4 Bxf4 26. g3 Bxg3 27. fxg3 Qxg3+ 28. Kh1 Re2 29. Bf4 Qg2# 0-1"
" Blitz ","saygans","arkandor","0-1","2016.07.01","13:04:18","1646","1773","-7.0","6.0","C44","Ponziani Opening","300+0","Normal","1. e4 e5 2. Nf3 Nc6 3. c3 Bc5 4. d4 exd4 5. cxd4 Bb4+ 6. Nc3 d6 7. d5 Bxc3+ 8. bxc3 Nce7 9. Bg5 Bg4 10. Be2 h6 11. Bh4 Qd7 12. a4 a5 13. Bb5 c6 14. dxc6 bxc6 15. Bc4 Ng6 16. Bg3 Nf6 17. Bxd6 Bxf3 18. Qxf3 Qxd6 19. O-O O-O 20. Rad1 Qf4 21. Qd3 Qxe4 22. Qxe4 Nxe4 23. Rd3 Ne5 24. Re3 Nxc4 25. Rxe4 Nd6 26. Re2 Rfe8 27. Rd2 Rad8 28. Rfd1 Nb7 29. Rxd8 Rxd8 30. Rb1 Nc5 31. Rb6 Rd1# 0-1"
" Blitz ","vermifugo","xoninhas","1-0","2016.07.01","13:04:14","1468","1709","20.0","-17.0","C00","Rat Defense: Small Center Defense","120+5","Normal","1. e4 { [%eval 0.14] } 1... e6 { [%eval 0.31] } 2. d4 { [%eval 0.19] } 2... d6 { [%eval 0.46] } 3. Bc4 { [%eval 0.12] } 3... Ne7 { [%eval 0.61] } 4. Nc3 { [%eval 0.53] } 4... Ng6 { [%eval 0.62] } 5. Qe2 { [%eval 0.29] } 5... Be7 { [%eval 0.4] } 6. Nf3 { [%eval 0.28] } 6... Nh4 { [%eval 0.53] } 7. O-O { [%eval 0.39] } 7... O-O { [%eval 0.54] } 8. Bf4 { [%eval 0.3] } 8... Ng6 { [%eval 0.47] } 9. Bg3 { [%eval 0.43] } 9... c6 { [%eval 0.46] } 10. d5?! { [%eval -0.05] } 10... e5 { [%eval 0.41] } 11. dxc6 { [%eval 0.09] } 11... Nxc6?! { [%eval 0.59] } 12. Rad1 { [%eval 0.43] } 12... Nf4?! { [%eval 1.15] } 13. Bxf4 { [%eval 1.0] } 13... exf4 { [%eval 1.25] } 14. e5 { [%eval 1.1] } 14... Qc7?? { [%eval 4.41] } 15. Nd5? { [%eval 1.94] } 15... Qd7 { [%eval 2.31] } 16. exd6?! { [%eval 1.39] } 16... Bxd6 { [%eval 1.18] } 17. Nxf4 { [%eval 1.01] } 17... Rd8? { [%eval 2.86] } 18. Bb5? { [%eval 0.82] } 18... Qf5?? { [%eval 5.66] } 19. Rxd6 { [%eval 5.56] } 19... Qxf4?? { [%eval #2] } 20. Rxd8+ { [%eval #1] } 20... Nxd8 { [%eval #1] } 21. Qe8# 1-0"
" Blitz ","Motti","Paavonen","0-1","2016.07.01","13:04:18","1630","1906","-3.0","4.0","A46","Torre Attack #2","300+2","Normal","1. d4 Nf6 2. Nf3 e6 3. g3 c5 4. Bg2 d5 5. O-O cxd4 6. Nxd4 Nc6 7. Nxc6 bxc6 8. c4 Be7 9. Nc3 O-O 10. Bf4 Nh5 11. Be3 Qa5 12. Bd2 Qc7 13. e3 Nf6 14. Rc1 Qb8 15. cxd5 cxd5 16. Na4 Ba6 17. Re1 Rc8 18. Ba5 Qb5 19. Bc3 Rab8 20. Bf1 Qb7 21. Bg2 Bb5 22. Be5 Ra8 23. Qd4 Qa6 24. b3 Ne8 25. a3 Bxa3 26. Rxc8 Rxc8 27. Ra1 Bxa4 28. Rxa3 Rc1+ 0-1"
" Classical ","s100033","pretegio","1-0","2016.07.01","13:04:18","1800","1911","14.0","-31.0","E00","Indian Game: East Indian Defense","600+0","Normal","1. d4 Nf6 2. c4 e6 3. e3 d5 4. a3 c5 5. Nf3 Nc6 6. h3 cxd4 7. Nxd4 Nxd4 8. Qxd4 Bd7 9. b4 b6 10. g3 Rc8 11. Be2 dxc4 12. Bxc4 Bc6 13. O-O Qxd4 14. exd4 b5 15. Ba2 Bf3 16. Bb2 Rc2 17. Bc3 Ne4 18. Bb3 Rxc3 19. Nxc3 Nxc3 20. Kh2 Bd6 21. Rac1 Be2 22. Rfe1 Bc4 23. Bxc4 bxc4 24. Rxc3 O-O 25. Rxc4 Rd8 26. Rec1 Rd7 27. Rc8+ Bf8 28. R1c7 Rxd4 29. Rxa7 Rd2 30. Raa8 Rxf2+ 31. Kg1 1-0"
" Blitz ","josef38","CabeludoGR","1-0","2016.07.01","13:04:19","1652","1675","11.0","-12.0","C40","Latvian Gambit: Mayet Attack","300+0","Normal","1. e4 e5 2. Nf3 f5 3. Bc4 fxe4 4. Nxe5 Nh6 5. Qh5+ g6 6. Nxg6 Qf6 7. Nxh8+ Kd8 8. Nf7+ Nxf7 9. Qxf7 Nc6 10. Qxf6+ Be7 11. Qh8+ Bf8 12. Qxf8# 1-0"
" Blitz ","AsianTom","babyvooche","1-0","2016.07.01","13:04:18","1631","1604","10.0","-9.0","C60","Ruy Lopez: Cozio Defense","300+3","Normal","1. e4 e5 2. Nf3 Nc6 3. Bb5 Nge7 4. c3 g6 5. d4 exd4 6. cxd4 Bg7 7. Be3 a6 8. Ba4 O-O 9. O-O b5 10. Bc2 Bb7 11. a3 d6 12. b4 Kh8 13. Qd2 Ne5 14. dxe5 dxe5 15. Qxd8 Raxd8 16. Nbd2 f5 17. Rad1 fxe4 18. Bxe4 Bxe4 19. Nxe4 Rxd1 20. Rxd1 c6 21. Bc5 Re8 22. Bxe7 Rxe7 23. Rd8+ Re8 24. Rxe8+ Bf8 25. Rxf8+ Kg7 26. Ra8 1-0"
" Bullet ","Lezionegratis","muki122","1-0","2016.07.01","13:04:20","1810","1574","5.0","-5.0","A00","Saragossa Opening","60+0","Time forfeit","1. c3 d6 2. e4 Bg4 3. Nf3 Bxf3 4. Qxf3 Nf6 5. Bc4 e6 6. e5 d5 7. exf6 dxc4 8. fxg7 Bxg7 9. O-O Nc6 10. d4 O-O 11. Nd2 Ne7 12. Ne4 Ng6 13. Ng5 h6 14. Ne4 Re8 15. Bxh6 Bxh6 16. Nf6+ Kg7 17. Nxe8+ Qxe8 18. Rfe1 Rd8 19. Qxb7 Rd7 20. Qe4 c6 21. Re2 Qc8 22. Rae1 Qb8 23. h4 Qd8 24. h5 Ne7 25. Qg4+ Kf8 26. Re5 f6 27. R5e2 f5 28. Qf3 c5 29. Rxe6 cxd4 30. Rxh6 Ng8 31. Rh8 Rg7 32. Qxf5+ Qf6 33. Qxf6+ Rf7 34. Rxg8+ Kxg8 35. Qd8+ Kg7 36. Re7 Rxe7 37. Qxe7+ Kh6 38. cxd4 Kxh5 39. d5 c3 40. bxc3 a5 41. d6 a4 42. d7 a3 43. Qh7+ Kg5 44. d8=Q+ 1-0"
" Blitz ","izi-izi","dkve","1-0","2016.07.01","13:04:18","1448","1666","21.0","-16.0","A00","Van't Kruijs Opening","180+0","Normal","1. e3 d5 2. d3 e5 3. Nf3 Nc6 4. Nc3 Nf6 5. Bd2 Bd6 6. Be2 O-O 7. O-O d4 8. exd4 exd4 9. Ne4 Nxe4 10. dxe4 Bg4 11. h3 Bh5 12. b3 Ne5 13. Nxe5 Bxe5 14. Bxh5 d3 15. cxd3 Bxa1 16. Qxa1 g6 17. Bf3 Qxd3 18. Be3 f6 19. Bh6 Rf7 20. Be3 b6 21. b4 Rd8 22. a4 Qb3 23. b5 Kg7 24. Bd1 Rfd7 25. Bxb3 1-0"
" Classical ","Partisiano","dmitriy_duyun","1-0","2016.07.01","13:04:20","2322","2284","10.0","-15.0","B70","Sicilian Defense: Dragon Variation","480+0","Normal","1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. h3 Bg7 7. g3 O-O 8. Bg2 a6 9. O-O Qc7 10. Kh2 Nc6 11. Be3 Bd7 12. f4 Nxd4 13. Bxd4 e5 14. fxe5 dxe5 15. Be3 Rad8 16. Qf3 Bc6 17. Rf2 Nxe4 18. Nxe4 f5 19. Bg5 Rd4 20. Qb3+ Bd5 21. Nf6+ Kh8 22. Nxd5 1-0"
" Blitz ","Bryanchessman","Cbonfim125","1-0","2016.07.01","13:04:22","1314","1357","12.0","-13.0","A00","Van't Kruijs Opening","300+0","Normal","1. e3 e5 2. Nf3 d6 3. d4 Bg4 4. h3 Bxf3 5. Qxf3 Nf6 6. Nd2 Nc6 7. Ne4 Nxe4 8. Qxe4 Be7 9. Bb5 Qd7 10. d5 a6 11. dxc6 bxc6 12. Bxc6 Qxc6 13. Qxc6+ Kd8 14. Qxa8+ 1-0"
" Blitz ","sgroppenpedons","Advclf","1-0","2016.07.01","13:04:21","1762","1900","15.0","-15.0","A45","Indian Game","240+0","Normal","1. d4 Nf6 2. Bf4 e6 3. h3 d5 4. Nf3 Be7 5. e3 b6 6. c4 Bb7 7. cxd5 Nxd5 8. Be2 O-O 9. Bg3 Nd7 10. Nc3 c5 11. Rc1 N7f6 12. dxc5 Bxc5 13. Nxd5 Nxd5 14. a3 a5 15. Ne5 Bxe3 16. fxe3 Nxe3 17. Qxd8 Nxg2+ 18. Kf2 Rfxd8 19. Rhg1 Rd2 20. Rc7 Ba6 21. Kxg2 Rxe2+ 22. Kh1 f6 23. Nc6 Rxb2 24. Ne7+ Kf8 25. Bd6 Ke8 26. Nc6 Rc2 27. Rgxg7 Rxc6 28. Rg8# 1-0"
" Blitz ","MertCan26x","Leorra","1/2-1/2","2016.07.01","13:04:23","1520","1535","1.0","-1.0","B22","Sicilian Defense: Alapin Variation","300+0","Normal","1. e4 c5 2. c3 Nc6 3. d4 cxd4 4. cxd4 d6 5. Nc3 g6 6. Nf3 Bg7 7. Bb5 Bd7 8. O-O Nf6 9. d5 Ne5 10. Bxd7+ Nexd7 11. Re1 O-O 12. h4 h5 13. Nh2 Ne5 14. f4 Neg4 15. Nxg4 Nxg4 16. Qb3 b6 17. Nd1 e6 18. Ne3 Qxh4 19. Nxg4 Qxe1+ 20. Kh2 hxg4 21. dxe6 Qxe4 22. exf7+ Rxf7 23. Bd2 Bh6 24. g3 Qe2+ 25. Kh1 Qxd2 26. Rd1 Qf2 27. Rxd6 Qf3+ 28. Qxf3 gxf3 29. Rxg6+ Kh7 30. Rg4 Rc8 31. Kg1 Rc2 32. Rh4 Rxb2 33. Rh2 Rxh2 34. Kxh2 Rc7 35. Kg1 Rc2 36. f5 Rxa2 37. f6 Kg8 38. f7+ Kxf7 39. g4 Bg5 40. Kf1 Ke6 41. Ke1 Ke5 42. Kf1 Ke4 43. Ke1 f2+ 44. Kf1 Kf3 1/2-1/2"
" Blitz ","KINGTRAPPED","AbhijitA","1-0","2016.07.01","13:04:25","1356","1138","5.0","-7.0","A01","Nimzo-Larsen Attack: Modern Variation #2","300+0","Time forfeit","1. b3 e5 2. Bb2 d5 3. g3 Bf5 4. Bxe5 d4 5. Bg2 c6 6. e4 Bg6 7. Nf3 1-0"
" Blitz ","Chess-NHK","K-Kaspar","1-0","2016.07.01","13:04:22","1703","1582","10.0","-8.0","B40","Sicilian Defense: Delayed Alapin Variation","300+2","Normal","1. e4 c5 2. Nf3 e6 3. c3 Nf6 4. e5 Nd5 5. c4 Nb6 6. d4 cxd4 7. Qxd4 Nc6 8. Qd1 Nxc4 9. Bxc4 a6 10. O-O b5 11. Be2 Bb7 12. h3 Rb8 13. Nbd2 Bc5 14. Nb3 Ba7 15. Re1 O-O 16. Bd3 Qb6 17. Be3 1-0"
" Classical ","malexver","imhotepp","1-0","2016.07.01","13:04:23","1782","1633","8.0","-7.0","B00","Ware Defense","600+1","Normal","1. e4 a5 2. Nf3 a4 3. d4 e6 4. Nc3 c6 5. d5 a3 6. bxa3 Bxa3 7. Bf4 Bb2 8. Ne2 Qa5+ 9. Bd2 Qa7 10. Bc3 Bxa1 11. Qxa1 Nf6 12. Bxf6 gxf6 13. Qxf6 Qxa2 14. Qxh8+ Ke7 15. d6+ Kxd6 16. Qe5+ Ke7 17. Nf4 Qb1+ 18. Kd2 Ra2 19. Qc5+ d6 20. Qc3 Ra1 21. Qd3 Qb4+ 22. Ke2 b6 23. Nd2 Ba6 24. c4 Ra3 25. Qc2 Ra2 26. Qxa2 Bxc4+ 27. Qxc4 1-0"
" Blitz ","Chessking2015","enzo17","1-0","2016.07.01","13:04:20","1904","1813","8.0","-8.0","C00","French Defense: Normal Variation","180+0","Time forfeit","1. e4 e6 2. d4 Ne7 3. Nc3 Ng6 4. Nf3 Bb4 5. Bd2 Bxc3 6. Bxc3 O-O 7. h4 c6 8. h5 Nh8 9. g4 d5 10. e5 f6 11. Bd2 fxe5 12. Nxe5 Nf7 13. Bf4 Qf6 14. Nxf7 Rxf7 15. Bg3 e5 16. dxe5 Qg5 17. Be2 Na6 18. Qd4 b6 19. f4 Qd8 20. Bh4 Qf8 21. Bg3 Nc5 22. f5 Ne4 23. Bh4 Bxf5 24. gxf5 Rxf5 25. O-O-O Rd8 26. Bg4 c5 27. Qxe4 dxe4 28. Rxd8 Qxd8 29. Bxd8 Rf4 30. Be2 1-0"
" Blitz ","danabudu","stopaj22","1-0","2016.07.01","13:04:22","1809","1699","8.0","-7.0","B25","Sicilian Defense: Closed Variation, Traditional","180+0","Time forfeit","1. e4 c5 2. Nc3 Nc6 3. Bb5 Nd4 4. Nf3 a6 5. Bf1 d6 6. d3 e6 7. Be3 Nc6 8. Qd2 Be7 9. d4 cxd4 10. Nxd4 Nf6 11. Bd3 Nb4 12. h3 Nxd3+ 13. cxd3 b5 14. O-O Bb7 15. f3 O-O 16. Nde2 Rc8 17. Rac1 Nd7 18. Nf4 Ne5 19. Nfe2 Bh4 20. f4 Nd7 21. Nd4 Bf6 22. Nf3 d5 23. e5 Be7 24. d4 Nb6 25. b3 f6 26. g3 fxe5 27. Nxe5 Nd7 28. Nd3 Nf6 29. Kg2 Ne4 30. Nxe4 dxe4 31. Ne5 Bd6 32. Rfd1 Rxc1 33. Qxc1 Qf6 34. Ng4 Qe7 35. Kh2 Ba3 36. Qd2 Rc8 37. Ne5 Qc7 38. Ng4 Qc2 39. Nf2 1-0"
" Blitz ","penitenciaria","djyug","0-1","2016.07.01","13:04:24","1944","2026","-9.0","8.0","A41","Old Indian Defense","180+0","Normal","1. d4 d6 2. c4 e6 3. Nc3 g6 4. Nf3 Bg7 5. e4 Ne7 6. Be3 h6 7. Bd3 O-O 8. Qc2 b6 9. h4 e5 10. d5 Kh7 11. h5 g5 12. Ng1 f6 13. f3 a6 14. g4 Nd7 15. Nh3 Bb7 16. Ne2 Qb8 17. Ng3 Nc5 18. Bxc5 bxc5 19. b3 Bc8 20. Qd2 Bd7 21. Kf2 Qb7 22. Rab1 Rfb8 23. Rb2 a5 24. Rhb1 Bf8 25. a4 Nc8 26. Nf5 Bxf5 27. gxf5 Be7 28. Ke3 Na7 29. Qg2 c6 30. Qf1 Qb4 31. Qe2 Qc3 32. Kf2 Qb4 33. Kg3 Rg8 34. Kg4 Rg7 35. Nf2 Nc8 36. Nd1 Nb6 37. Ne3 cxd5 38. exd5 Nd7 39. Be4 Nb8 40. Qd3 Rg8 41. Qd2 Na6 42. Qd3 Nc7 43. Qc2 Ne8 44. Qd3 Ng7 45. Qc2 Rgb8 46. Qd3 Qb7 47. Nc2 Qc7 48. b4 axb4 49. Rb3 Rxa4 50. Ne3 Rba8 51. Qd1 Qc8 52. Qc2 Qe8 53. Qh2 Ra3 54. Ng2 Rxb3 55. Rxb3 Ra2 56. Qg3 Rxg2 57. Qxg2 Qxh5+ 58. Kg3 Qh4# 0-1"
" Blitz ","HARTUROVZ","Dixis","0-1","2016.07.01","13:04:24","1444","1554","-7.0","9.0","A00","Mieses Opening","180+0","Time forfeit","1. d3 d5 2. d4 e6 3. e3 a6 4. a3 c5 5. dxc5 Bxc5 6. Nf3 b5 7. a4 Bb7 8. axb5 axb5 9. Rxa8 Bxa8 10. Bxb5+ Bc6 11. Bxc6+ Nxc6 12. Nc3 h6 13. Bd2 Nf6 14. O-O O-O 15. Qa1 Nb4 16. Ne1 Qc8 17. Nb5 Nc6 18. b3 Qb7 19. Nc3 Bb4 20. Qb2 Na5 21. Nd3 Bxc3 22. Bxc3 Nc6 23. Bb4 Rc8 24. Nc5 Qxb4 25. Na6 Qb6 26. Qa3 Ra8 27. Ra1 Nb8 28. Qc5 Rxa6 29. Qxb6 Rxb6 30. Ra8 Ne4 31. f3 Nd2 32. Kf2 Nb1 33. c4 dxc4 34. bxc4 Nc3 35. c5 Rb5 36. c6 Kh7 37. c7 Rc5 38. cxb8=Q Rc7 39. Qxc7 Nd5 40. Qd8 Nf6 41. Qh8+ Kg6 42. g4 e5 43. h4 h5 44. Qxh5+ Nxh5 0-1"
" Classical ","rishabh2011","SugeKnight79","1-0","2016.07.01","13:04:19","1920","1915","11.0","-11.0","C40","Latvian Gambit Accepted","600+0","Normal","1. e4 e5 2. Nf3 f5 3. exf5 e4 4. Nd4 Nf6 5. d3 exd3 6. Bxd3 Nc6 7. Nxc6 dxc6 8. O-O Be7 9. Bc4 Bxf5 10. Qh5+ Bg6 11. Qf3 1-0"
" Blitz ","sunny_side_up","Philand","0-1","2016.07.01","13:04:25","1184","1299","-9.0","8.0","B01","Scandinavian Defense: Mieses-Kotroc Variation","300+0","Normal","1. e4 d5 2. exd5 Qxd5 3. Nc3 Qc6 4. Nf3 Nf6 5. g3 Nd5 6. Nxd5 Qxd5 7. Bg2 Qe6+ 8. Kf1 Qc4+ 9. d3 Qb5 10. Bf4 Qd7 11. Qd2 Nc6 12. Re1 e6 13. Ne5 Nxe5 14. Rxe5 Bd6 15. Re1 O-O 16. Qc3 Bxf4 17. gxf4 c6 18. Bh3 Re8 19. Rg1 g6 20. f5 exf5 21. Rxe8+ Qxe8 22. Rg5 Qe7 23. Rg1 Bd7 24. Qb4 Qxb4 0-1"
